DC, NFV, SW
**************************START OF FILE**************************
*******************START OF NODE**************************
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
*******************START OF LINK**************************
1,2
1,4
1,9
2,1
2,3
2,4
3,2
3,4
3,6
4,1
4,2
4,3
4,5
5,4
5,6
5,8
6,3
6,5
6,7
7,6
7,8
7,11
7,12
8,5
8,7
8,9
8,10
9,1
9,8
9,10
10,8
10,9
10,11
10,14
11,7
11,10
11,12
12,7
12,11
12,13
13,12
13,14
13,15
14,10
14,13
14,15
15,13
15,14
**************************END OF FILE**************************
