DC, NFV, SW
**************************START OF FILE**************************
*******************START OF NODE**************************
1,NFV
2,NFV
3,NFV
4,NFV
5,NFV
6,NFV
7,NFV
8,NFV
9,NFV
10,NFV
11,NFV
12,NFV
13,NFV
14,DC
*******************START OF LINK**************************
1,2
1,3
1,8
2,1
2,3
3,1
3,2
3,4
3,6
4,3
4,5
5,4
5,6
5,7
6,3
6,5
6,10
7,5
7,8
7,10
8,1
8,7
8,9
8,11
9,8
9,10
9,13
10,6
10,7
10,9
10,14
11,8
11,12
12,11
12,13
13,9
13,12
13,14
14,10
14,13
**************************END OF FILE**************************
