DC, NFV, SW
**************************START OF FILE**************************
*******************START OF NODE**************************
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
*******************START OF LINK**************************
1,2
1,7
1,8
2,1
2,3
2,6
2,7
3,2
3,4
3,6
4,3
4,5
4,6
5,4
5,6
6,2
6,3
6,4
6,5
6,9
7,1
7,2
7,8
7,9
8,1
8,7
8,9
8,10
9,6
9,7
9,8
9,11
9,12
9,15
9,18
10,8
10,11
11,9
11,10
11,12
11,13
12,9
12,11
12,13
12,14
12,17
13,11
13,12
13,14
14,12
14,13
15,9
15,16
16,15
16,17
17,12
17,16
17,18
18,9
18,17
**************************END OF FILE**************************
